"CD_GEOCMU","areamunic","precclimme","prec2010me","temp2010me","tempclimme"
3504503,145118.382746,1448.5946044922,1359.5006713867,21.3084945679,21.3533277512
3504602,12945.2358468,1418.2535267829,1130.8185583244,24.3012239108,23.9779254221
3504701,10914.5943858,1313.3269042969,1041.3178710938,23.71641922,23.0931606293
3504800,17974.1029177,1368.2443958352,1075.0316049731,24.5775230833,24.3421963379
3504909,79196.2035614,1480.2943650261,1572.9775568025,22.687174418,22.1894749403
3505005,18076.8146541,1420.7877975805,1272.3816431336,21.4875873554,20.6693872107
3505104,24320.8650869,1305.737453347,1121.0770647194,24.42621419,23.8991510762
3505203,53548.9840283,1380.2239170141,1348.4618700995,22.9291131194,22.351867698
3505302,17994.1103373,1412.5057536031,1385.5101693125,22.7986637047,22.0118885428
3505351,48179.8315984,1497.3164086307,1639.288943127,19.4563847343,19.6036967543
3505401,120322.915491,1753.7120841043,2072.457917515,19.1543233624,20.4008320815
3505500,189548.407365,1391.7948608398,1245.8127441406,24.1463251114,23.7673950195
3505609,17760.1561574,1440.480729122,1281.9380394706,23.2351203058,22.6223822255
3505708,8075.63851074,1523.834036939,1570.3770558225,21.4781532187,20.9262847627
3505807,19987.8132987,1355.5851597536,1278.5147368343,23.6198360453,23.6029107686
3505906,104216.356783,1633.3151456703,1254.7089189113,22.5818297563,22.0316939744
3506003,79753.4365755,1359.1031852891,1196.7949191307,22.7050437888,22.4118780047
3506102,82539.0142088,1382.7729499453,1219.4539030024,23.8348200012,23.3781980758
3506201,35290.2789523,1317.8780912477,1249.2120634547,24.2866330516,24.0589443043
3506300,28956.6697418,1482.4969972804,1168.2823859426,21.8879054435,21.5824189199
3506359,61018.2177665,,,,
3506409,18544.5403241,1316.0292035101,1266.1492041702,24.2486426694,23.9980848717
3506508,62477.8745035,1315.4904911377,1244.1452201699,24.379939434,24.1126972585
3506607,39580.7173238,,,,
3506706,83408.7644568,1384.2414550781,1279.897644043,22.7594537735,22.3435678482
3506805,43961.4811545,1404.8046844493,1357.7855530445,22.8464479807,22.200888454
3506904,78986.3150056,1375.4114662161,1211.2772001722,21.4223077692,21.3753107423
3507001,30224.0183722,1254.281738882,1223.1763458692,21.543472864,21.3887765302
3507100,13397.8591504,1482.3371689308,1557.2585533972,20.3606890381,20.2994902491
3507159,15788.8984389,1505.4138530883,1639.6083926319,19.5090925097,19.6114266802
3507209,13929.1245959,1388.6818216379,1232.8354193976,22.9636292263,23.1107858285
3507308,14708.5354846,1367.0651571188,1357.9996039564,22.9333657884,22.4355523508
3507407,66188.0197714,1331.4025041909,1150.4924309545,23.75232397,23.3198758752
3507456,41478.9049071,1415.6528344798,1289.5862756795,21.899802222,21.7502440925
3507506,178513.310232,1422.7147623698,1342.6677652995,21.9060490926,21.6182263692
3507605,63513.1703717,1503.9917346861,1428.5559259045,20.1027372138,19.9987502036
3507704,23096.8113677,1321.3450602235,1268.4837282925,23.9893256188,23.7551933504
3507753,12389.0620053,1328.7375853201,1136.6404884944,24.4927292936,24.1838526994
3507803,34334.7650813,1628.6258029422,1396.3373658605,22.6423480196,22.2803370579
3507902,133667.639177,1489.0625244727,1331.7080438712,22.2396610841,21.7857150828
3508009,143490.942419,1364.323059082,1414.221496582,20.7241182327,20.787946701
3508108,38602.3989241,1326.7882742451,1145.0101217096,24.5045039441,24.214653075
3508207,32749.5377991,1601.412873306,1367.6440371914,23.0923656193,22.386281579
3508306,28548.012672,1380.5461584772,1189.7246334586,22.3460782444,22.2237476099
3508405,32022.8537608,1457.9794755886,1359.5826303225,21.7176872287,21.1449456083
3508504,46438.1414267,1333.5512897296,1154.5642904143,20.2979514619,19.4341727002
3508603,36690.5005181,1497.6139642193,1564.7726739668,19.3907472985,19.7487710314
3508702,58296.4403143,1571.3903827607,1294.1776978299,20.403201941,20.4529422308
3508801,109685.280391,1314.6223788696,1034.1702084707,24.1213688061,23.347335787
3508900,29303.24056,1324.4153509098,1326.7615593949,23.746570384,23.7853799279
